cd_cliente,cd_pedido,cd_produto,categoria_produto,qt_vendida,receita_bruta
1,991533,100820,Teclado,1,60.33
1,993099,124882,Fonte,1,65.2
1,993099,100820,Teclado,2,56.71
1,995369,127237,Bateria,1,329.98
1,998477,126924,Bateria,1,320.78
1,1000534,126923,Bateria,1,172.23
1,1003239,124882,Fonte,1,72.17
1,1006133,100515,Fonte,1,90.0
1,1019333,101255,Fonte,1,64.77
1,1019333,100823,Bateria,2,234.22
1,1023865,126924,Bateria,1,267.83
1,1023865,101345,Teclado,2,83.38
1,1026744,100284,Teclado,1,53.81
1,1026744,100501,Bateria,2,269.32
1,1026744,101112,Fonte,3,101.13
1,1031524,100291,Teclado,1,58.85
1,1013468,126727,SSD,1,4210.47
1,1013468,124401,SSD,2,373.35
1,1013468,101113,Fonte,3,49.42
1,1013468,100499,Bateria,4,104.78
1,1013468,101135,Cooler,6,12.9
1,1013468,100840,Bateria,7,154.15
1,1013468,101267,Bateria,10,201.85
1,1013468,122810,Memoria,13,834.84
1,1013468,122809,Memoria,14,96.24
6,994168,121465,Tela,1,413.65
6,994168,100097,Tela,2,1176.42
6,884041,100097,Tela,1,1751.07
14,858377,100097,Tela,1,608.66
14,861014,100820,Teclado,1,70.72
14,861014,100773,Teclado,2,60.19
14,862360,100059,Tela,1,524.21
14,862360,101018,Cooler,2,17.71
14,862360,101019,Cooler,3,17.76
14,877603,121293,Teclado,1,93.7
14,877603,100810,Teclado,2,59.6
14,877603,100097,Tela,3,623.83
14,880121,100804,Teclado,1,80.43
14,880121,100288,Teclado,2,53.7
14,880121,101019,Cooler,3,21.56
14,892008,100063,Tela,1,284.48
14,892008,100720,Teclado,2,62.71
14,909762,100740,Teclado,1,90.0
14,913561,100820,Teclado,1,77.62
14,919247,101000,Teclado,1,90.96
14,922110,100101,Tela,1,402.92
14,922110,100588,Bateria,2,135.75
14,928693,101324,Teclado,1,93.41
14,935605,121465,Tela,1,618.99
14,941954,100820,Teclado,1,67.91
14,941954,100329,Teclado,2,84.06
14,948325,100810,Teclado,1,59.51
14,948325,100367,Teclado,2,53.75
14,956232,101001,Teclado,1,66.62
14,956232,100367,Teclado,2,52.85
14,967179,121518,Tela,1,573.47
14,1025760,101323,Teclado,1,73.16
14,1009356,100289,Teclado,1,56.54
14,1011545,126923,Bateria,1,170.66
14,1004661,101000,Teclado,1,74.94
14,982801,100699,Bateria,1,170.0
32,873475,100059,Tela,1,543.52
49,884010,100681,Bateria,1,172.58
49,884604,100681,Bateria,1,167.52
49,884604,100501,Bateria,2,138.41
49,885340,101262,Bateria,1,394.45
49,886459,100838,Bateria,1,199.22
49,886671,100505,Bateria,1,171.54
49,911512,101262,Bateria,1,428.91
49,906859,100497,Bateria,1,137.78
49,898209,100699,Bateria,1,187.57
49,899062,100745,Bateria,1,294.27
49,899062,100699,Bateria,2,178.55
49,871964,100681,Bateria,1,178.14
49,874405,100681,Bateria,1,178.14
49,877338,100761,Bateria,1,295.32
49,877338,100763,Bateria,2,229.88
49,877338,100681,Bateria,3,163.41
49,875876,100588,Bateria,1,148.6
49,861242,100498,Bateria,1,147.18
49,859246,100500,Bateria,1,148.76
49,864114,100681,Bateria,1,178.14
49,864820,100499,Bateria,1,131.58
49,858254,100761,Bateria,1,296.86
49,932222,100499,Bateria,1,125.92
49,927370,100505,Bateria,1,169.77
49,920738,100681,Bateria,1,163.68
49,921034,101262,Bateria,1,428.87
49,920314,100763,Bateria,1,235.29
49,916391,100623,Bateria,1,262.26
49,914434,100681,Bateria,1,162.87
49,967310,100763,Bateria,1,197.58
49,964096,100745,Bateria,1,268.94
49,964096,100501,Bateria,2,128.55
49,956982,101262,Bateria,1,331.97
49,952812,100745,Bateria,1,273.48
49,953611,100745,Bateria,1,267.68
49,953611,101262,Bateria,2,328.92
49,951287,100681,Bateria,1,154.21
49,947637,124784,Tela,1,516.84
49,950570,100681,Bateria,1,146.37
49,950570,101262,Bateria,2,330.7
49,941306,100687,Bateria,1,145.06
49,994754,100588,Bateria,1,136.35
49,994754,121465,Tela,2,417.47
49,1004578,100702,Bateria,1,265.06
49,1004578,100838,Bateria,2,190.82
49,969836,100681,Bateria,1,154.44
49,972263,100588,Bateria,1,160.79
49,1011668,124784,Tela,1,381.02
49,1008825,126925,Bateria,1,142.36
49,1003787,126927,Bateria,1,130.69
49,1006589,126925,Bateria,1,142.91
49,1007502,126921,Bateria,1,223.23
49,1015687,124784,Tela,1,751.64
49,1016210,100497,Bateria,1,144.48
49,1025685,100097,Tela,1,355.54
49,1025588,126925,Bateria,1,153.0
49,1027320,100763,Bateria,1,177.55
49,1029171,121295,Bateria,1,280.07
49,1028974,121295,Bateria,1,280.07
51,983428,100688,Bateria,1,188.42
51,976240,100820,Teclado,1,71.79
51,977822,100097,Tela,1,422.59
51,1002612,101248,Tela,2,636.24
51,966683,100744,Bateria,1,279.1
51,966683,100820,Teclado,2,56.74
51,935870,100773,Teclado,1,75.38
51,870717,100587,Bateria,1,176.5
51,901984,100063,Tela,1,301.43
51,905725,101344,Teclado,1,101.49
51,910461,100497,Bateria,1,146.57
80,917281,100740,Teclado,1,170.26
80,910767,121518,Tela,1,7204.59
80,910767,100055,Tela,2,1937.82
80,911916,122826,Tela,1,3125.76
80,868084,101262,Bateria,2,20932.07
80,867231,100686,Bateria,1,1304.47
80,867231,121464,Bateria,2,258.76
80,867231,100055,Tela,3,1338.23
80,867231,101267,Bateria,4,11913.76
80,867231,101262,Bateria,5,1773.84
80,867231,100507,Bateria,6,877.24
80,867231,100763,Bateria,7,823.82
80,867231,100059,Tela,8,10166.78
80,867231,101118,Fonte,9,123.82
80,867231,101000,Teclado,10,638.0
80,867231,100505,Bateria,11,294.34
80,975815,101262,Bateria,1,11574.47
80,975815,127237,Bateria,2,12415.53
80,971234,126773,,2,8010.0
80,972193,126924,Bateria,1,3020.0
93,858398,100367,Teclado,1,70.94
93,865468,100810,Teclado,1,70.81
93,859089,100289,Teclado,1,70.94
93,870380,100101,Tela,1,405.6
93,875899,100059,Tela,1,534.87
93,883671,100820,Teclado,1,81.79
93,881054,100097,Tela,1,603.4
93,898197,100820,Teclado,1,81.75
93,910790,100997,Teclado,1,100.09
93,955091,100588,Bateria,1,125.97
93,955091,100063,Tela,2,253.06
93,958272,100101,Tela,1,679.73
93,958536,100063,Tela,1,263.49
93,960645,100059,Tela,1,477.25
93,945414,100754,Bateria,1,297.74
93,951356,101323,Teclado,1,78.14
93,952967,101001,Teclado,1,72.63
93,968184,100683,Bateria,1,121.43
93,975220,100497,Bateria,1,136.44
93,994884,100820,Teclado,1,72.1
93,1010743,100367,Teclado,1,69.59
93,1015228,121295,Bateria,1,324.01
93,1031594,126924,Bateria,1,545.66
114,887525,101262,Bateria,1,404.88
142,999893,100754,Bateria,1,298.27
142,1008527,100055,Tela,1,399.24
142,1029036,125430,Placa,1,285.0
142,917923,101117,Fonte,1,184.58
142,916460,100497,Bateria,1,141.96
142,951627,100501,Bateria,1,138.41
142,951627,100284,Teclado,2,61.51
142,950246,100726,Teclado,1,56.87
142,950246,101117,Fonte,2,254.32
142,967347,100839,Bateria,1,155.58
142,967347,100497,Bateria,2,117.21
142,906605,101117,Fonte,1,94.01
142,906605,100323,Teclado,2,61.77
142,906605,100497,Bateria,3,278.79
148,888117,100059,Tela,1,534.4
148,1016827,100097,Tela,1,716.96
148,1016827,123133,Placa,2,19.4
166,1016675,124398,SSD,1,820.55
166,1016675,124399,SSD,2,1089.56
166,1016675,121293,Teclado,3,69.51
166,1016675,121604,Cooler,4,49.88
166,1016675,101019,Cooler,5,35.15
166,1016675,122809,Memoria,6,406.62
166,1016675,101118,Fonte,7,170.18
166,1016675,101121,Cooler,8,23.15
166,1016675,100519,Fonte,9,161.16
166,1016675,101123,Cooler,10,42.17
166,1003504,100919,Fonte,1,169.76
166,1003504,100756,Fonte,2,57.27
166,1003504,124401,SSD,3,522.5
168,888833,100287,Teclado,1,104.15
168,886621,100497,Bateria,1,134.87
168,880030,101000,Teclado,1,90.11
168,894480,100063,Tela,1,294.17
168,898454,100101,Tela,1,406.7
168,901605,100820,Teclado,1,77.62
168,855168,100810,Teclado,1,60.58
168,855168,101230,Fonte,2,45.32
168,856074,101000,Teclado,1,90.11
168,852622,100324,Teclado,1,55.76
168,852622,100820,Teclado,2,67.3
168,861927,100726,Teclado,1,60.57
168,861927,121089,Cooler,2,168.72
168,863367,100366,Teclado,1,69.24
168,877307,100063,Tela,1,295.82
168,877351,101000,Teclado,1,93.64
168,874427,101000,Teclado,1,92.73
168,870093,100367,Teclado,1,69.51
168,866360,100820,Teclado,1,78.37
168,965598,100845,Bateria,1,224.0
168,962299,100773,Teclado,1,49.0
168,962329,100500,Bateria,1,139.0
168,962171,100101,Tela,1,330.24
168,954846,100101,Tela,1,337.74
168,954846,101268,Bateria,2,269.93
168,956767,101344,Teclado,1,103.0
168,955684,100810,Teclado,1,65.19
168,955684,100333,Teclado,2,62.81
168,960348,100740,Teclado,1,83.0
168,958234,100059,Tela,1,455.0
168,953946,100588,Bateria,1,137.97
168,943155,100367,Teclado,1,73.8
168,939084,101262,Bateria,1,353.11
168,936435,100215,Tela,1,663.61
168,932256,100101,Tela,1,349.82
168,932256,100288,Teclado,2,53.59
168,930474,100692,Bateria,1,142.16
168,971224,100732,Bateria,1,139.63
