,carat,cut,color,clarity,depth,table,x,y,z,grp_clarity,grp_color,grp_cut,log_carat,log_carat_menor_2,log_carat_maior_2,dist_carat,grade,IFDIdeal,SI1DPremium,SI1HIdeal,SI2FIdeal,SI2FPremium,SI2GGood,SI2GIdeal,SI2GPremium,SI2GVery Good,VS2DIdeal,VS2DPremium,VS2GIdeal,VS2IIdeal,VVS1DIdeal,VVS1EIdeal,VVS2DIdeal,color_D,clarity_SI2,grp_cla_I,grp_cla_IF,grp_cla_SI,grp_cla_VS,grp_cla_VVS,grp_col_Colorless,grp_col_Near Colorless,grp_col_Tinted,grp_cut_Fair,grp_cut_Good,grp_cut_Ideal,grp_cut_Very Good/Premium,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,SI,Near Colorless,Very Good/Premium,-0.09431067947124129,-0.09431067947124129,0.0,-0.08999999999999997,SI2HVery Good,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,False,False,False,True,False,False,False,False,True,2736.6136254990665
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,VS,Colorless,Good,-0.9675840262617056,-0.9675840262617056,0.0,-0.62,VS2FGood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,True,False,False,False,True,False,False,892.5522627981404
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,VS,Near Colorless,Ideal,-0.6539264674066639,-0.6539264674066639,0.0,-0.48,VS2HIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,True,False,1414.4833660350018
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,VS,Colorless,Ideal,0.09531017980432493,0.09531017980432493,0.0,-0.8999999999999999,VS1GIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,True,False,False,False,False,True,False,7389.624954015482
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,SI,Colorless,Ideal,0.8241754429663494,0.0,0.8241754429663494,-0.7200000000000002,SI2GIdeal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,False,False,True,False,False,True,False,False,False,False,True,False,17121.265249960044
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,VS,Tinted,Very Good/Premium,0.6981347220709843,0.0,0.6981347220709843,-0.9900000000000002,VS2JVery Good,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,True,False,False,False,True,13746.154363262225
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,SI,Colorless,Ideal,0.058268908123975824,0.058268908123975824,0.0,-0.94,SI2GIdeal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,False,False,True,False,False,True,False,False,False,False,True,False,4605.470363402976
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,SI,Colorless,Very Good/Premium,-0.35667494393873245,-0.35667494393873245,0.0,-0.30000000000000004,SI1EPremium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,True,False,False,False,False,False,True,2383.268173564622
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,VS,Near Colorless,Very Good/Premium,-0.31471074483970024,-0.31471074483970024,0.0,-0.27,VS2IPremium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,True,2524.290730853697
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,IF,Near Colorless,Ideal,-0.31471074483970024,-0.31471074483970024,0.0,-0.27,IFHIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,True,False,False,False,True,False,3550.571860599647
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,VS,Colorless,Good,0.0,0.0,0.0,-1.0,VS2DGood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,True,False,True,False,False,False,True,False,False,6211.701045120798
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,VVS,Colorless,Ideal,-1.1086626245216111,-1.1086626245216111,0.0,-0.6699999999999999,VVS2GIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,False,False,False,True,False,895.9360045803895
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,VVS,Tinted,Ideal,-0.616186139423817,-0.616186139423817,0.0,-0.45999999999999996,VVS2JIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,True,False,False,True,False,1474.8577854693228
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,VS,Colorless,Ideal,-1.1086626245216111,-1.1086626245216111,0.0,-0.6699999999999999,VS2DIdeal,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,False,False,False,True,False,True,False,False,False,False,True,False,823.4859656660784
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,VS,Colorless,Fair,-0.6733445532637656,-0.6733445532637656,0.0,-0.49,VS2DFair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,True,False,True,False,False,True,False,False,False,1523.741927781111
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,SI,Colorless,Ideal,-0.6733445532637656,-0.6733445532637656,0.0,-0.49,SI1EIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,True,False,False,False,False,True,False,1390.0546469805065
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,SI,Near Colorless,Good,-1.2039728043259361,-1.2039728043259361,0.0,-0.7,SI1IGood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,True,False,False,True,False,False,397.91652733619185
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,SI,Near Colorless,Good,0.9783261227936078,0.0,0.9783261227936078,-0.33999999999999986,SI2HGood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,False,False,False,True,False,False,True,False,False,17895.02971773195
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,SI,Colorless,Very Good/Premium,-0.08338160893905101,-0.08338160893905101,0.0,-0.07999999999999996,SI1FPremium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,True,False,False,False,False,False,True,3883.5628431284317
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,IF,Colorless,Ideal,-1.2039728043259361,-1.2039728043259361,0.0,-0.7,IFGIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,True,False,False,False,False,True,False,852.3332140707944
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,SI,Near Colorless,Very Good/Premium,0.0,0.0,0.0,-1.0,SI1HVery Good,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,True,4160.585426809921
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,VS,Colorless,Very Good/Premium,-1.0788096613719298,-1.0788096613719298,0.0,-0.6599999999999999,VS1FVery Good,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,True,False,False,False,False,False,True,763.2173375315988
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,SI,Colorless,Very Good/Premium,0.009950330853168092,0.009950330853168092,0.0,-0.99,SI2FVery Good,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,False,False,True,False,False,False,False,False,True,4495.65385279459
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,VS,Colorless,Ideal,-0.13926206733350766,-0.13926206733350766,0.0,-0.13,VS1FIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,True,False,False,False,False,True,False,4345.206570285052
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,SI,Colorless,Very Good/Premium,0.23111172096338664,0.23111172096338664,0.0,-0.74,SI2DPremium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,False,False,True,False,False,True,False,False,False,False,False,True,7141.795442681593
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,VS,Colorless,Very Good/Premium,-0.9675840262617056,-0.9675840262617056,0.0,-0.62,VS1EPremium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,True,False,False,False,False,False,True,936.4028287381919
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,VVS,Colorless,Ideal,-0.5978370007556204,-0.5978370007556204,0.0,-0.44999999999999996,VVS2FIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,False,False,False,True,False,2282.1043686070648
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,SI,Colorless,Very Good/Premium,-0.4307829160924542,-0.4307829160924542,0.0,-0.35,SI1GPremium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,True,False,False,False,False,False,True,2085.357918910018
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,VVS,Colorless,Very Good/Premium,-0.8915981192837836,-0.8915981192837836,0.0,-0.5900000000000001,VVS2DPremium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,False,True,True,False,False,False,False,False,True,1392.1890319231802
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,I,Near Colorless,Very Good/Premium,-0.35667494393873245,-0.35667494393873245,0.0,-0.30000000000000004,I1IVery Good,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,True,False,False,False,False,True,1094.8863196702698
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,VS,Near Colorless,Very Good/Premium,0.02955880224154443,0.02955880224154443,0.0,-0.97,VS1IVery Good,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,True,5233.5574622373115
31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,VVS,Colorless,Ideal,-1.0788096613719298,-1.0788096613719298,0.0,-0.6599999999999999,VVS2FIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,False,False,False,True,False,946.5686267910819
32,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,VVS,Near Colorless,Ideal,-0.31471074483970024,-0.31471074483970024,0.0,-0.27,VVS1IIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,True,False,False,False,True,False,3130.712961072792
33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,SI,Colorless,Ideal,-0.18632957819149348,-0.18632957819149348,0.0,-0.17000000000000004,SI2DIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,False,False,True,False,False,True,False,False,False,False,True,False,3153.8493620809704
34,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,SI,Colorless,Very Good/Premium,-0.6733445532637656,-0.6733445532637656,0.0,-0.49,SI1GVery Good,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,True,False,False,False,False,False,True,1343.2843371088602
35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,VS,Colorless,Ideal,0.058268908123975824,0.058268908123975824,0.0,-0.94,VS2EIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,True,False,False,False,False,True,False,6924.635566846886
36,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,VS,Colorless,Ideal,-0.8915981192837836,-0.8915981192837836,0.0,-0.5900000000000001,VS1DIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,True,False,True,False,False,False,False,True,False,1202.0490110316596
37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,VS,Colorless,Ideal,0.02955880224154443,0.02955880224154443,0.0,-0.97,VS2FIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,True,False,False,False,False,True,False,6583.68349054445
38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,SI,Colorless,Ideal,-1.1394342831883648,-1.1394342831883648,0.0,-0.6799999999999999,SI1DIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,True,False,False,True,False,False,False,False,True,False,638.3309423930582
39,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,VS,Tinted,Very Good/Premium,-1.2039728043259361,-1.2039728043259361,0.0,-0.7,VS1JPremium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,True,False,False,False,True,404.8970883648555
40,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,VVS,Colorless,Very Good/Premium,-1.1394342831883648,-1.1394342831883648,0.0,-0.6799999999999999,VVS2DVery Good,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,False,True,True,False,False,False,False,False,True,882.7614190464858
41,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,VS,Colorless,Ideal,-1.1086626245216111,-1.1086626245216111,0.0,-0.6699999999999999,VS1GIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,True,False,False,False,False,True,False,747.5444718376222
